obs,prediction,truth
-0.30739539861679077,1.2859245538711548,0.8199999928474426
-0.9018082618713379,1.3368494510650635,1.6100000143051147
0.7994423508644104,1.4656506776809692,1.6799999475479126
-1.1887662410736084,1.3594350814819336,1.0099999904632568
0.819939374923706,1.4689524173736572,0.9200000166893005
1.516837239265442,1.5188276767730713,1.0399999618530273
-0.6968383193016052,1.3117543458938599,1.8899999856948853
-1.5167181491851807,1.3852975368499756,1.190000057220459
0.12304150313138962,1.3951616287231445,1.7999999523162842
-1.2092632055282593,1.3610438108444214,1.5299999713897705
-1.0452872514724731,1.3481736183166504,1.0499999523162842
-0.7583293318748474,1.319055199623108,1.4500000476837158
-1.4142332077026367,1.377131700515747,2.0899999141693115
-0.7173353433609009,1.313906192779541,0.949999988079071
-0.799323320388794,1.3242039680480957,1.149999976158142
-1.2912511825561523,1.3674789667129517,1.399999976158142
1.0659033060073853,1.5037113428115845,1.4199999570846558
0.12304150313138962,1.3951616287231445,2.8299999237060547
0.20502948760986328,1.4069221019744873,1.9199999570846558
1.1683882474899292,1.5124859809875488,1.2000000476837158
-0.18441343307495117,1.3185653686523438,1.3600000143051147
1.2298792600631714,1.5166397094726562,2.069999933242798
0.5739753842353821,1.4326987266540527,1.590000033378601
-1.1067782640457153,1.3529999256134033,1.7999999523162842
1.7218071222305298,1.525564432144165,1.340000033378601
-0.08192845433950424,1.3470790386199951,1.25
-0.6968383193016052,1.3117543458938599,1.1299999952316284
1.0659033060073853,1.5037113428115845,1.2899999618530273
-1.1682692766189575,1.3578262329101562,1.909999966621399
1.5578311681747437,1.5192759037017822,1.440000057220459
0.18453249335289001,1.4046707153320312,1.350000023841858
0.3280114531517029,1.4148122072219849,1.090000033378601
1.3528612852096558,1.5205869674682617,1.25
-0.6148503422737122,1.3039486408233643,1.850000023841858
0.5534784197807312,1.4304007291793823,1.4199999570846558
0.8814303278923035,1.4795401096343994,0.6800000071525574
-0.38938337564468384,1.2797644138336182,1.309999942779541
-0.9428022503852844,1.3401238918304443,1.7000000476837158
-0.9223052859306335,1.338486671447754,1.100000023841858
1.2503762245178223,1.5177092552185059,1.7699999809265137
0.6559633612632751,1.4437034130096436,2.440000057220459
1.680813193321228,1.523473858833313,1.1799999475479126
-0.799323320388794,1.3242039680480957,1.649999976158142
-1.147772192955017,1.356217622756958,1.2000000476837158
-1.6192030906677246,1.3936198949813843,1.2899999618530273
-1.1272752285003662,1.3546086549758911,1.100000023841858
1.2503762245178223,1.5177092552185059,1.2799999713897705
1.4348492622375488,1.5193893909454346,1.840000033378601
0.28701746463775635,1.4108302593231201,1.3799999952316284
-0.9428022503852844,1.3401238918304443,1.100000023841858
-0.5328623652458191,1.295802116394043,2.069999933242798
0.6559633612632751,1.4437034130096436,1.2100000381469727
1.4348492622375488,1.5193893909454346,1.590000033378601
-0.55335932970047,1.2980232238769531,1.7000000476837158
1.1478912830352783,1.5109015703201294,2.5899999141693115
0.5329813957214355,1.428102731704712,1.3799999952316284
0.9839153289794922,1.4959888458251953,1.4900000095367432
1.2093822956085205,1.5153056383132935,2.0
-0.1639164388179779,1.3243215084075928,1.0399999618530273
1.0454063415527344,1.5018048286437988,1.5499999523162842
0.5944724082946777,1.4349968433380127,1.5399999618530273
1.1888853311538696,1.5139718055725098,1.8899999856948853
1.106897234916687,1.5075243711471558,2.109999895095825
-0.1639164388179779,1.3243215084075928,1.690000057220459
1.6193221807479858,1.5203063488006592,1.309999942779541
0.9019273519515991,1.482861042022705,0.8899999856948853
0.9839153289794922,1.4959888458251953,1.8300000429153442
1.2503762245178223,1.5177092552185059,1.5700000524520874
-1.0862812995910645,1.351391077041626,1.399999976158142
1.2708733081817627,1.5182849168777466,1.7000000476837158
-0.30739539861679077,1.2859245538711548,1.3600000143051147
